Lat,Lon,Value,ConstructionType
-68.76379643457912,26.180914442410494,227996.24491306627,Wood
-51.47857080770252,17.36292609298426,446660.82585144346,Wood
-58.04018174565785,9.886640265804646,156364.86011535214,Wood
-62.040245474088906,23.416044665252315,67572.62621395725,Steel
-75.3194407867269,15.466953392082393,287833.9247850797,Wood
-75.32016438991393,19.86568708631243,100006.75642871119,Steel
-78.25749163495402,7.681632254348471,195682.33352204564,Wood
-54.01471562675194,20.789599737899806,201825.9611533839,Wood
-61.96654964770374,14.338762223628109,171178.41213370665,Wood
-58.757822666118635,13.354743742962361,69325.31989829964,Wood
-79.38246517112593,29.49788946944503,140750.13707998086,Concrete
-50.90270443514017,15.810766069006181,86871.81102898119,Steel
-55.02672077598735,21.950959452893354,195144.02407452546,Wood
-73.62982667965171,20.693188389346027,114227.56245255402,Concrete
-74.54525098378699,7.607588772128941,69587.83628912352,Concrete
-74.49786470439699,23.698188426607903,216349.05650003304,Wood
-70.87273271121387,13.078980085839413,98032.68573089471,Concrete
-64.25730705103287,24.973488729918376,171760.7916774711,Steel
-67.04164944073652,20.19101956538456,121203.85522514967,Steel
-71.26312579405874,12.927287248837239,230305.58768145123,Wood
-61.64441315832862,13.907324008276774,226495.26242269806,Steel
-75.81518418043875,23.287684241659015,179006.22401521238,Wood
-71.23566054394345,18.751482878072046,155908.75260506963,Wood
-69.00914470118924,21.70877601678288,136446.98261406165,Wood
-66.31790047348892,8.957958026879707,100510.48087186807,Wood
-56.44472115820959,24.674416805710464,128635.36753936394,Steel
-74.0097865352492,13.009782972875868,197078.2523358936,Wood
-64.57296684759166,20.49653167894183,355699.1863608331,Wood
-62.227562934138724,7.866995631050218,204509.40432502108,Steel
-78.60648761840007,13.035506028924175,216642.61302683558,Wood
-61.77365444295685,21.221682326666045,155884.95535015935,Wood
-74.88427628938125,11.855153307256264,200888.81848174438,Wood
-78.04845221044161,27.00780491874543,68930.84350549134,Steel
-51.533433882400004,21.53070998608551,121935.1849051046,Concrete
-51.03103900776322,26.75695983241989,215661.9205067988,Wood
-55.74807955650616,14.884767556278018,217214.2996778657,Steel
-70.86158692479889,5.849628565616875,130961.76379487333,Wood
-77.06983657980848,19.40349908387757,96437.63208629964,Steel
-59.4730092046353,13.479837568134307,158197.8030244132,Wood
-66.79542518781196,16.20470939805883,136792.33523812733,Wood
-76.33885295465663,22.02775534806872,237102.03841343045,Wood
-65.14469269666189,22.516616676771793,215630.58889722795,Wood
-78.96834436654345,5.688910371645385,302430.356241646,Wood
-52.72038793763654,24.23256682099034,253769.68181129047,Concrete
-72.23660055199949,17.337972873901972,145853.55075996145,Wood
-60.12433146938054,18.91746933311375,187111.03248366874,Steel
-70.64866771731766,12.449854629746314,367237.820825562,Steel
-64.39795936466568,15.520844650014524,138670.4976390324,Wood
-63.59869161970161,22.759378349483292,174550.81538848364,Concrete
-74.4543663342342,24.41784507360646,162469.956802498,Wood
-50.91246116706324,14.677654529199451,163839.30015813065,Wood
-56.746015299166565,22.277938316283254,114732.55634268788,Concrete
-51.81503175307433,11.451087542210951,274683.5011596622,Wood
-53.155179487170535,25.80056662943788,112772.41768558712,Wood
-62.06300063566744,20.245355972684134,342224.92556073325,Wood
-52.3437729493065,24.379662901672376,313477.9730634639,Wood
-77.34522493844241,16.928871307946185,179936.240235347,Steel
-74.12051412742565,10.727732124548881,163122.30321446585,Steel
-78.64318133268385,15.730777832841099,119277.6534782919,Wood
-70.24009007710207,14.53713486195802,167439.83910408188,Wood
-68.33968130931554,13.317913586003979,250707.45398122957,Wood
-71.85952904678312,10.304343693536959,123785.7067605565,Concrete
-55.13787472544212,23.979178546995154,292772.9795636484,Wood
-69.29740019919232,7.158791533014012,245247.48038850297,Wood
-71.57196470937858,27.189023247145848,155991.58800306587,Wood
-63.71911750525255,9.375618072443837,223784.62232668998,Concrete
-75.77227325075712,29.496841296288533,112979.63033657942,Wood
-55.93409057737881,29.711701202176858,156184.6166409885,Steel
-77.76348068960688,14.959676031028794,395057.01903988497,Wood
-50.39339190198448,29.695526815806573,262401.02107863885,Wood
-56.83265692110028,26.72671293201816,198653.84146178354,Wood
-74.03852955397483,7.06075692366664,167306.20092393062,Wood
-79.83433648629193,28.683214090715452,157994.2739879791,Wood
-55.536157146354974,6.0628596476148555,160893.42076882353,Wood
-58.794279684571485,9.547857343477679,119432.74762551411,Steel
-58.12978495877038,19.614888521166858,211256.32519566867,Steel
-56.86188959942163,7.01842946000034,247152.2706534224,Wood
-77.77866044797729,9.043193924734222,147140.84427449957,Wood
-69.24602814367182,28.837294677805968,196213.74898037582,Steel
-76.52392821424611,29.867197122190202,121654.45237352229,Steel
-54.1068972237322,24.95341354450743,158467.46338250366,Steel
-61.30105619517326,17.88023478661757,116019.26817215391,Wood
-70.07305925442053,27.50752339229188,148629.9679417711,Wood
-78.09324949141929,7.797469272089217,170716.54511940197,Wood
-70.67053034853014,28.572296731125224,207269.45198756066,Wood
-70.24450033919759,13.788823186385805,127382.61114651767,Steel
-58.111814649858076,26.537234780829863,196903.01564171448,Steel
-60.87327585934361,21.709335149634775,111019.80160965447,Wood
-53.383617722710206,29.00685760139305,184766.7720279475,Steel
-65.83355224514152,26.616948694895456,394117.6931682305,Wood
-76.41217262185094,27.197445338772653,140286.88945194884,Steel
-58.60265638331015,20.793858903000764,95463.54225321398,Wood
-57.17644854149307,25.828963274406895,232970.3450673232,Steel
-63.161684072915115,23.92827876903346,182483.08903595447,Wood
-56.87098460136317,9.04057827259718,195506.65078084703,Wood
-65.18613210906828,21.214922283831076,270695.67068729695,Concrete
-64.31801511854017,8.704388663003966,122480.3566551274,Wood
-67.17376944924351,26.736403047138246,123935.78073000227,Wood
-79.23742619767714,6.648744983499212,202365.38526652532,Steel
-76.76325719020086,29.676166754831883,246679.46567799078,Steel
-79.05712442939797,15.015666653442787,178958.64133460145,Concrete
-60.90768766208659,9.26573384253589,158170.26101224165,Wood
-70.5693205677102,28.391874591530573,185186.21810854302,Steel
-64.74287926505892,6.135649655746199,218254.94470335424,Steel
